,Wipro,Tech Mahindra,IBM,Cyient,Softura,APITAVATech,Dharani Info Technologies,IIC Technologies,HCL Technologies,Infosys,Satyam Venture Engineering Services,Sankhya Infotech,KTree Computer Solutions
number_of_employees,180000,150000,300000,15000,8000,12000,10000,5000,200000,250000,18000,7000,8000
revenue,900000000000,720000000000,1200000000000,80000000000,50000000000,60000000000,40000000000,30000000000,1000000000000,1100000000000,85000000000,60000000000,45000000000
market_cap,4500000000000,3000000000000,5000000000000,150000000000,100000000000,80000000000,60000000000,50000000000,5500000000000,6000000000000,120000000000,90000000000,70000000000
number_of_businesses_by_industry,"{'IT Services': 1200, 'Consulting': 500, 'Software Development': 800}","{'IT Services': 800, 'BPO': 300, 'Telecom': 200}","{'IT Services': 1500, 'Consulting': 800, 'Software Development': 1200}","{'Engineering Services': 400, 'Data Analytics': 150, 'IT Solutions': 200}","{'Software Development': 300, 'Consulting': 150, 'Digital Transformation': 100}","{'IT Services': 400, 'Cloud Solutions': 200, 'Cybersecurity': 100}","{'IT Services': 300, 'Digital Marketing': 100, 'Web Development': 150}","{'Geospatial Solutions': 200, 'Engineering Services': 100, 'Marine Technology': 50}","{'IT Services': 1600, 'Infrastructure Services': 500, 'Engineering Services': 700}","{'IT Services': 1800, 'Consulting': 700, 'Software Development': 1000}","{'Engineering Services': 600, 'Product Design': 200, 'Aerospace Solutions': 150}","{'IT Services': 300, 'Simulation Software': 100, 'Aviation Solutions': 50}","{'Software Development': 250, 'Web Development': 150, 'Mobile App Development': 100}"
average_wages,90000,85000,95000,75000,85000,90000,80000,70000,95000,92000,78000,82000,80000
job_creation_rate,0.06,0.05,0.04,0.03,0.04,0.05,0.03,0.02,0.07,0.05,0.04,0.03,0.03
business_formation_closure_rates,"{'Formation': 0.025, 'Closure': 0.015}","{'Formation': 0.02, 'Closure': 0.01}","{'Formation': 0.018, 'Closure': 0.012}","{'Formation': 0.012, 'Closure': 0.008}","{'Formation': 0.015, 'Closure': 0.01}","{'Formation': 0.018, 'Closure': 0.012}","{'Formation': 0.01, 'Closure': 0.008}","{'Formation': 0.008, 'Closure': 0.005}","{'Formation': 0.03, 'Closure': 0.02}","{'Formation': 0.028, 'Closure': 0.018}","{'Formation': 0.015, 'Closure': 0.01}","{'Formation': 0.012, 'Closure': 0.008}","{'Formation': 0.01, 'Closure': 0.008}"
customer_satisfaction,4.5,4.4,4.7,4.2,4.3,4.5,4.0,4.2,4.6,4.8,4.3,4.1,4.2
employee_satisfaction,4.2,4.0,4.3,3.8,4.0,4.2,3.7,3.9,4.1,4.4,4.0,3.7,3.9
innovation_index,75,70,80,65,70,75,60,65,78,82,70,65,65
technology_adoption_rate,0.8,0.7,0.75,0.7,0.75,0.8,0.6,0.7,0.77,0.8,0.75,0.7,0.7
global_presence,True,True,True,False,True,True,False,True,True,True,False,False,False
partnerships,"['Microsoft', 'Oracle', 'SAP']","['Cisco', 'Huawei', 'IBM']","['Red Hat', 'Salesforce', 'VMware']","['Siemens', 'Airbus', 'Boeing']","['Microsoft', 'Amazon', 'Google']","['Cisco', 'IBM', 'Fortinet']","['Google', 'Facebook', 'HubSpot']","['Esri', 'Bentley', 'Hexagon']","['SAP', 'Microsoft', 'Salesforce']","['Oracle', 'Google', 'Amazon']","['Boeing', 'Airbus', 'Lockheed Martin']","['Dassault Systèmes', 'ANSYS', 'Siemens']","['Microsoft', 'AWS', 'Google']"
